traj_id,cell_id
517,1748
519,1977
531,1911
500,1566
534,1982
497,1599
525,2350
551,2042
526,1939
524,2249
504,1973
568,1835
495,1875
509,1938
510,2007
543,1970
522,1943
585,1780
513,2049
556,1867
582,2177
512,2082
533,2010
535,1912
550,2251
567,2148
517,1749
528,1971
543,1969
542,1848
557,2140
500,1565
569,1498
526,1938
518,1818
515,1901
551,2041
523,1880
502,2049
560,1863
493,1838
511,2316
554,1981
519,1978
577,1939
522,1908
578,2112
572,1909
522,1909
585,1781
551,2006
582,2176
566,1973
526,1903
510,2006
545,1946
517,1750
544,1771
516,2007
507,2183
567,2149
587,2043
571,2382
532,1771
524,2250
543,1934
523,1915
542,1847
522,1944
495,1876
525,2351
567,2184
552,1854
580,2311
517,1715
500,1566
576,1919
537,2085
569,1499
588,1981
497,1598
526,1902
533,2009
512,2083
556,1866
519,2013
553,2310
567,2149
541,1847
561,2212
585,1782
564,2250
502,2048
518,1817
531,1910
505,1954
514,1980
513,2050
543,1935
506,1853
494,2084
572,1910
560,1864
500,1601
539,2152
522,1945
544,1806
526,1937
578,2113
508,1853
554,1982
509,1939
568,1800
516,2006
532,1806
543,1900
520,2342
584,1672
585,1783
504,2008
534,1983
567,2150
566,1974
511,2315
569,1464
542,1882
550,2252
507,2184
575,1941
549,1873
536,2087
560,1865
498,2048
543,1901
495,1877
590,1909
522,1946
526,1936
500,1602
502,2013
519,2014
585,1784
529,1820
577,1938
515,1900
565,1817
544,1805
513,2051
524,2251
555,2177
525,2352
533,2008
572,1911
567,2151
535,1913
552,1853
585,1819
543,1900
503,1873
571,2381
578,2148
560,1830
581,1951
523,1914
522,1947
574,1836
541,1846
556,1865
562,1946
543,1899
501,2074
532,1805
516,2041
526,1937
542,1847
585,1820
505,1953
552,1854
567,2116
551,2041
500,1603
507,2149
543,1864
512,2082
518,1818
495,1878
589,1948
552,1819
511,2316
540,1734
513,2016
499,1916
519,2015
508,1854
545,1945
522,1948
526,1938
553,2309
588,2016
521,2322
569,1465
524,2252
510,2041
572,1912
493,1839
543,1863
496,2243
560,1831
526,1973
583,2078
522,1949
527,2313
530,2185
533,2007
567,2117
502,2014
558,2072
504,2009
531,1909
522,1984
525,2353
543,1864
537,2084
552,1854
526,1974
578,2149
495,1879
494,2119
528,1972
572,1913
541,1881
518,1819
567,2082
569,1466
542,1846
587,2042
543,1865
550,2217
560,1796
500,1604
519,1980
544,1806
524,2251
514,1981
507,2150
568,1801
575,1940
543,1830
554,1947
511,2317
522,1985
572,1948
513,2017
577,1903
526,1975
567,2083
556,1864
590,1910
516,2040
549,1908
500,1639
533,2006
505,1918
509,1940
543,1831
495,1880
569,1431
497,1633
518,1854
560,1797
522,1984
500,1638
582,2177
534,1984
502,2015
511,2352
526,1976
538,2311
525,2354
543,1796
553,2344
529,1819
523,1913
572,1949
567,2084
580,2276
542,1845
495,1915
504,2010
533,2005
507,2151
522,2019
532,1806
556,1865
566,2009
515,1899
543,1797
513,2018
519,1981
567,2049
503,1908
526,1977
520,2343
531,1910
560,1762
541,1880
544,1807
516,2075
500,1639
535,1914
585,1855
495,1916
581,1950
543,1762
568,1766
533,1970
550,2218
511,2353
569,1432
522,2018
524,2286
572,1950
526,1978
502,1980
578,2150
525,2355
585,1890
527,2278
509,1975
543,1763
540,1735
573,1855
567,2050
507,2116
549,1907
526,2013
536,2086
506,1852
560,1763
552,1855
545,1944
496,2242
546,1671
569,1431
555,2176
556,1830
500,1640
543,1764
523,1948
588,2015
539,2151
538,2276
513,2019
526,2014
590,1875
567,2051
585,1889
519,1982
551,2040
534,1985
495,1917
587,2041
543,1729
562,1947
542,1846
498,2047
501,2075
584,1671
537,2119
576,1920
583,2113
504,2011
560,1764
533,1969
567,2016
522,2019
516,2074
573,1890
528,1973
525,2356
569,1396
572,1951
514,1982
585,1888
524,2287
577,1902
526,2015
510,2040
521,2323
518,1855
543,1730
544,1808
500,1641
493,1804
511,2354
578,2151
520,2342
575,1905
585,1923
568,1767
560,1729
543,1695
495,1918
532,1807
541,1881
522,2020
574,1837
502,1981
567,2017
572,1950
507,2117
499,1917
526,2016
505,1917
543,1696
558,2073
509,1974
585,1922
513,2020
564,2249
504,2012
528,1938
519,1947
494,2118
503,1907
550,2183
553,2343
500,1642
530,2184
544,1809
538,2241
524,2322
533,1968
525,2357
534,2020
522,2021
567,2018
543,1697
556,1831
526,2017
515,1898
495,1917
535,1915
560,1730
554,1946
511,2355
572,1985
573,1889
569,1395
529,1820
585,1921
541,1882
543,1662
536,2051
542,1847
516,2073
512,2117
500,1643
531,1911
507,2082
523,1947
589,1949
522,2022
557,2105
578,2116
504,2047
567,2019
544,1844
526,2018
585,1956
560,1695
543,1663
502,1982
495,1952
551,2075
513,2021
500,1678
587,2006
525,2358
538,2242
522,2023
497,1634
552,1855
585,1955
533,1967
549,1908
543,1628
580,2241
541,1917
524,2323
526,2019
588,2014
519,1948
567,2020
560,1696
568,1768
569,1394
511,2356
556,1796
522,2058
572,1984
577,1937
573,1888
536,2086
510,2075
545,1943
543,1629
516,2108
507,2083
562,1948
534,1985
585,1954
500,1679
520,2377
522,2059
532,1808
535,1950
525,2359
528,1973
567,2021
550,2184
543,1630
526,2020
590,1876
542,1812
501,2110
531,1946
495,1951
540,1700
514,1983
513,2022
569,1429
585,1989
504,2048
527,2279
544,1845
543,1595
546,1706
518,1855
560,1697
524,2358
572,1985
515,1933
573,1923
519,1913
509,1973
505,1952
533,1966
525,2324
568,1803
502,1947
499,1952
522,2060
552,1890
503,1906
555,2175
567,2022
511,2357
526,2021
582,2142
585,1988
500,1680
543,1596
553,2378
572,2020
560,1662
584,1670
523,1946
521,2358
495,1950
543,1597
578,2117
508,1819
522,2061
583,2112
507,2084
532,1809
567,2023
538,2207
556,1797
526,2022
533,1965
525,2325
585,1987
513,2023
537,2118
494,2117
545,1908
569,1428
543,1562
589,1984
550,2149
567,2058
516,2107
539,2186
518,1890
524,2359
568,1804
541,1918
573,1922
522,2062
554,1945
585,2022
560,1663
495,1985
511,2358
526,2023
519,1914
543,1563
544,1846
567,2059
533,1930
588,2049
530,2185
504,2049
585,2021
566,2010
513,2058
493,1805
572,2021
531,1945
507,2049
509,2008
526,2058
522,2063
551,2074
543,1528
532,1844
502,1948
590,1841
535,1951
585,2021
534,1986
525,2326
533,1929
522,2098
569,1427
562,1913
526,2059
560,1628
567,2060
552,1889
578,2082
503,1941
542,1813
511,2359
543,1529
580,2242
524,2394
522,2099
558,2038
561,2211
556,1762
585,2020
496,2277
513,2059
520,2376
516,2142
510,2074
543,1494
495,1984
523,1981
549,1909
519,1915
590,1842
572,2020
576,1885
573,1921
585,2055
567,2061
545,1907
577,1938
526,2060
581,1985
522,2100
574,1838
511,2324
585,2054
498,2046
543,1495
569,1462
515,1932
544,1847
514,1984
560,1629
585,2019
528,1974
575,1904
502,1913
533,1930
541,1917
538,2172
525,2327
536,2085
550,2150
585,2019
518,1889
507,2050
543,1496
567,2062
572,2055
504,2050
568,1805
526,2061
564,2250
495,1985
587,2005
524,2395
543,1461
546,1707
519,1880
560,1630
520,2411
553,2377
511,2325
573,1956
513,2060
499,1953
542,1778
567,2063
544,1846
526,2062
494,2152
552,1888
495,2020
556,1763
578,2083
532,1845
543,1462
585,2018
560,1595
567,2098
525,2328
584,1705
569,1461
509,2007
538,2173
516,2141
507,2051
554,1944
505,1951
533,1931
531,1944
541,1952
543,1463
567,2099
572,2054
526,2063
585,2019
524,2430
519,1881
502,1914
543,1428
501,2111
526,2098
514,1985
550,2151
537,2117
511,2326
585,2019
573,1955
497,1635
524,2430
513,2061
567,2100
560,1596
552,1923
526,2099
518,1888
590,1841
504,2051
569,1496
544,1881
543,1429
551,2073
525,2329
495,2021
507,2016
533,1896
555,2174
524,2431
585,2020
530,2220
535,1952
543,1394
556,1764
521,2359
503,1940
538,2138
568,1806
526,2100
519,1880
515,1931
588,2048
560,1597
506,1851
523,1980
524,2431
516,2176
572,2089
585,2021
543,1395
565,1782
542,1779
571,2311
562,1914
511,2327
502,1915
585,2021
510,2073
578,2084
513,2062
524,2431
531,1979
518,1923
509,2006
543,1396
550,2116
569,1495
545,1906
553,2412
495,2020
514,2020
534,1987
541,1951
549,1910
554,1979
525,2330
573,1954
504,2052
585,2022
560,1562
540,1701
543,1361
520,2412
556,1729
582,2143
574,1839
552,1922
572,2088
533,1897
516,2175
507,2017
543,1362
532,1846
585,2023
495,2055
504,2087
511,2328
544,1880
493,1806
513,2063
502,1880
519,1845
528,1975
543,1363
585,2058
560,1563
527,2280
573,1989
523,2015
569,1494
580,2207
589,1985
577,1939
543,1328
539,2185
503,1975
578,2049
585,2059
504,2052
557,2106
572,2123
513,2098
533,1862
525,2331
507,1982
512,2116
515,1966
551,2108
568,1807
541,1950
509,2041
499,1954
538,2103
560,1528
518,1922
543,1329
590,1840
542,1780
524,2431
514,1985
537,2152
569,1529
495,2054
588,2083
585,2060
583,2111
497,1636
543,1330
511,2329
513,2099
502,1881
494,2151
516,2174
573,1988
544,1915
555,2175
572,2122
532,1847
550,2117
543,1295
556,1730
533,1863
524,2432
574,1838
519,1846
587,2004
585,2061
549,1911
510,2108
531,1978
525,2296
560,1529
553,2411
552,1921
564,2215
571,2276
566,2011
562,1915
536,2084
524,2432
507,1983
554,1978
520,2413
541,1985
585,2062
523,2014
572,2123
505,1950
560,1494
513,2100
504,2053
502,1880
569,1528
511,2330
495,2089
521,2394
498,2045
542,1745
535,1953
496,2278
544,1914
524,2433
556,1695
585,2063
575,1903
503,1974
545,1905
516,2173
519,1847
534,1988
550,2082
573,1987
585,2098
578,2050
560,1495
518,1921
525,2297
568,1808
584,1704
588,2082
533,1864
585,2099
552,1956
532,1812
576,1886
538,2068
507,1984
569,1563
546,1708
572,2158
558,2039
514,1986
495,2088
540,1666
524,2432
549,1946
509,2040
585,2100
531,1977
520,2448
519,1812
530,2221
560,1496
556,1696
573,2022
511,2331
533,1865
502,1845
504,2054
497,1635
524,2432
590,1839
568,1809
515,1965
507,1949
518,1956
527,2245
541,1984
570,1855
547,1855
560,1461
578,2051
495,2123
501,2112
569,1562
523,2013
572,2159
550,2083
551,2107
544,1913
538,2033
525,2262
571,2241
580,2208
562,1880
588,2047
582,2144
552,1955
559,1855
516,2172
493,1807
511,2296
547,1890
588,2082
533,1830
573,2021
553,2410
577,1940
494,2150
542,1746
524,2431
495,2122
570,1890
528,1976
509,2075
534,1989
560,1462
535,1954
568,1844
499,1919
554,1977
519,1813
496,2313
531,2012
504,2019
538,2034
510,2107
569,1597
541,2019
524,2430
556,1697
557,2071
503,1973
525,2263
536,2119
544,1948
502,1846
507,1950
560,1463
572,2194
547,1889
578,2016
518,1955
495,2123
532,1813
520,2449
545,1904
506,1850
523,2048
524,2430
537,2151
505,1949
583,2110
511,2297
519,1778
569,1596
555,2140
560,1428
550,2084
573,2020
533,1831
570,1889
589,1984
542,1711
547,1888
571,2242
587,2003
512,2151
584,1739
507,1915
556,1662
552,1954
515,2000
561,2176
538,2035
502,1847
572,2229
559,1890
524,2429
547,1923
521,2395
495,2158
508,1820
541,2018
560,1429
509,2074
568,1845
544,1947
573,2055
590,1804
514,1987
525,2228
534,1954
588,2081
551,2142
553,2445
533,1796
574,1873
519,1779
539,2184
504,2020
503,2008
570,1888
516,2207
569,1595
538,2000
532,1778
494,2149
560,1394
580,2209
550,2049
511,2262
535,1919
507,1916
547,1922
581,1984
554,1976
518,1954
552,1989
524,2428
572,2228
564,2216
502,1812
531,2011
578,2017
542,1712
495,2159
558,2004
569,1594
570,1923
556,1663
560,1395
528,1977
510,2142
520,2450
523,2047
525,2229
540,1667
497,1670
515,2001
498,2044
573,2054
562,1881
547,1921
519,1780
533,1797
538,2001
504,1985
541,2017
582,2109
544,1946
511,2263
524,2427
518,1989
575,1902
507,1917
560,1396
569,1629
572,2263
566,2012
537,2186
547,1956
545,1903
527,2246
552,1988
509,2073
577,1941
570,1922
493,1808
494,2114
578,1982
549,1947
495,2194
560,1361
519,1745
516,2242
568,1846
531,2046
502,1813
514,1952
532,1779
538,2002
505,1948
556,1628
533,1762
550,2050
507,1882
571,2207
547,1955
584,1740
572,2262
524,2426
523,2082
541,2052
525,2194
504,1986
573,2089
560,1362
569,1628
553,2444
554,1975
544,1981
503,2007
542,1713
518,1988
559,1889
590,1805
511,2228
534,1955
538,1967
589,2019
495,2229
501,2113
536,2118
570,1921
530,2222
502,1778
551,2141
521,2430
547,1954
560,1363
583,2109
509,2108
580,2210
568,1847
533,1763
516,2241
524,2425
546,1709
562,1846
519,1746
515,2002
545,1902
506,1885
572,2297
588,2080
507,1883
552,1987
578,1983
569,1663
547,1989
560,1328
587,2002
528,1942
556,1629
573,2088
564,2181
523,2081
570,1956
525,2159
498,2009
493,1809
576,1887
495,2228
535,1920
531,2045
550,2015
511,2229
542,1678
532,1780
538,1968
510,2141
499,1920
498,2008
547,1988
541,2051
519,1711
504,1987
502,1779
560,1329
554,1974
494,2113
539,2219
533,1764
507,1884
572,2296
544,1980
518,1987
503,2006
569,1662
508,1785
552,2022
570,1955
568,1812
573,2123
590,1806
558,2005
556,1630
537,2185
580,2211
538,1933
560,1330
545,1867
496,2314
495,2263
505,1947
514,1953
525,2158
547,1987
519,1712
578,1984
572,2331
533,1729
507,1849
512,2150
560,1295
541,2086
569,1697
504,1952
516,2276
554,1939
509,2107
534,1956
511,2194
559,1888
502,1780
573,2122
547,2022
544,2015
532,1745
571,2172
540,1668
556,1595
551,2176
518,2022
538,1934
493,1844
549,1946
495,2262
515,2003
531,2044
570,1954
523,2080
572,2330
552,2021
542,1679
562,1847
535,1885
547,2021
508,1820
584,1741
503,2041
525,2123
578,1949
529,1855
569,1696
580,2246
556,1596
519,1713
533,1730
541,2085
550,2014
502,1745
587,2001
507,1850
497,1669
577,1942
590,1771
564,2182
581,2019
570,1989
505,1912
536,2117
510,2176
538,1935
572,2329
544,2014
588,2079
557,2072
516,2311
504,1953
511,2159
554,1938
547,2020
495,2297
575,1901
525,2122
568,1813
521,2431
509,2142
518,2021
556,1596
569,1695
559,1923
533,1695
576,1852
519,1678
582,2110
573,2121
571,2173
523,2115
507,1815
570,1988
531,2079
534,1921
545,1866
514,1954
547,2055
538,1900
572,2328
583,2108
494,2112
589,2018
525,2123
527,2247
569,1730
552,2020
499,1885
495,2296
502,1746
532,1746
574,1874
533,1696
528,1943
566,2013
539,2218
570,1987
556,1597
515,2004
541,2084
546,1710
550,2015
511,2158
572,2327
544,2013
504,1954
547,2054
578,1950
573,2120
507,1816
551,2175
525,2088
542,1678
519,1679
555,2105
537,2184
586,2065
570,1952
501,2114
587,1966
495,2331
538,1901
529,1890
561,2177
535,1886
549,1981
518,2020
552,2055
505,1911
573,2085
569,1729
568,1814
572,2326
503,2040
586,2064
540,1633
562,1848
576,1887
547,2089
509,2141
554,1937
556,1562
523,2114
571,2138
530,2223
533,1697
544,2048
542,1643
541,2119
502,1745
536,2152
550,1980
504,1919
493,1845
570,1951
507,1817
580,2247
573,2084
538,1902
586,2063
588,2078
514,1919
525,2089
578,1915
511,2123
590,1772
569,1764
495,2330
510,2175
572,2325
531,2078
496,2313
534,1922
559,1922
518,2055
502,1710
498,2009
586,2062
519,1678
547,2088
533,1662
556,1563
584,1742
515,2005
538,1867
507,1782
572,2324
511,2122
569,1763
532,1747
495,2329
586,2061
570,1950
519,1643
573,2083
506,1884
552,2054
547,2123
503,2075
568,1815
528,1908
572,2359
542,1642
494,2111
523,2113
541,2118
586,2060
544,2047
509,2176
575,1900
545,1865
582,2075
527,2212
511,2123
578,1916
525,2054
495,2328
550,1981
572,2358
547,2122
531,2113
533,1663
574,1875
504,1920
537,2219
558,2006
502,1709
497,1668
551,2210
515,2040
562,1813
534,1921
569,1762
538,1868
519,1642
556,1562
590,1737
586,2059
570,1949
577,1943
573,2082
518,2054
586,2024
547,2123
511,2088
539,2219
554,1936
572,2357
495,2327
507,1781
564,2181
535,1887
544,2082
586,2023
569,1797
538,1833
588,2077
505,1910
565,1783
541,2117
532,1748
512,2149
533,1628
504,1885
568,1816
499,1886
542,1641
534,1922
519,1641
529,1889
552,2089
586,2022
570,1948
587,1965
550,1982
572,2356
556,1597
510,2210
580,2248
495,2326
589,2017
571,2103
547,2158
525,2053
573,2081
502,1708
578,1917
531,2112
503,2074
557,2073
551,2211
545,1864
509,2175
514,1920
579,2065
523,2148
507,1780
583,2107
581,2018
511,2089
544,2081
586,2021
559,1921
569,1796
579,2064
538,1834
496,2348
494,2146
493,1846
549,1980
568,1851
525,2052
541,2152
572,2355
579,2063
495,2325
570,1947
501,2115
533,1629
556,1596
586,2020
547,2159
519,1640
554,1935
574,1910
518,2089
579,2062
576,1888
515,2041
504,1886
528,1909
525,2017
573,2080
575,1865
507,1779
579,2061
546,1745
502,1707
590,1738
570,1912
578,1882
569,1831
538,1835
586,2019
495,2324
579,2060
542,1640
584,1743
572,2354
535,1852
532,1749
550,1947
552,2088
510,2211
568,1852
507,1744
573,2079
579,2059
533,1630
556,1595
495,2359
547,2194
579,2024
511,2054
540,1634
534,1887
502,1706
577,1908
586,2018
525,2016
519,1639
570,1911
544,2080
579,2023
537,2218
556,1596
569,1830
509,2210
538,1800
588,2076
527,2213
573,2044
495,2358
562,1814
514,1885
572,2353
536,2153
579,2022
523,2147
531,2111
507,1743
503,2073
533,1595
561,2142
541,2151
586,2017
582,2076
545,1899
559,1956
502,1671
579,2021
554,1970
519,1638
518,2088
504,1887
519,1639
580,2249
547,2229
551,2212
579,2020
566,2014
556,1596
505,1909
497,1703
525,2015
552,2123
549,2015
586,2016
495,2357
544,2115
569,1831
570,1910
572,2352
579,2019
529,1888
542,1639
575,1864
509,2211
514,1886
573,2043
578,1883
494,2145
513,1960
538,1801
579,2018
532,1750
507,1742
586,2015
530,2224
515,2040
591,2310
572,2351
523,2182
541,2186
519,1604
571,2068
501,2150
590,1739
547,2228
533,1596
579,2017
589,2052
539,2220
511,2053
502,1670
591,2309
564,2180
558,2007
586,2014
495,2356
504,1852
561,2177
516,2416
579,2016
568,1853
531,2146
591,2344
569,1832
525,2014
579,2017
572,2386
550,1946
584,1744
586,1979
588,2075
518,2123
570,1909
552,2122
538,1766
556,1597
555,2070
579,2052
542,1638
591,2343
503,2108
535,1853
510,2212
511,2052
513,1959
569,1867
587,1964
573,2042
542,1639
547,2263
579,2053
493,1847
586,1978
507,1741
544,2114
591,2378
562,1779
512,2184
495,2355
583,2106
528,1910
578,1884
531,2145
579,2054
533,1597
574,1911
591,2377
513,1924
569,1868
511,2017
572,2385
568,1854
525,2013
502,1669
541,2185
586,1977
519,1605
584,1779
559,1955
534,1888
538,1767
516,2417
509,2212
579,2089
591,2412
549,2014
588,2040
499,1887
547,2262
529,1923
557,2038
577,1909
570,1908
496,2347
575,1899
506,1883
556,1596
513,1923
591,2411
579,2088
540,1599
495,2354
550,1945
514,1885
573,2041
590,1704
507,1740
586,1976
551,2213
579,2123
571,2033
518,2122
504,1853
591,2410
540,1600
523,2181
537,2217
554,1969
572,2384
569,1869
542,1604
511,2016
515,2041
579,2122
544,2113
519,1570
531,2146
584,1778
539,2219
580,2250
586,1977
578,1849
591,2445
516,2418
579,2123
495,2353
525,2012
545,1898
550,1910
570,1907
502,1668
591,2444
547,2261
505,1908
588,2075
586,1942
538,1768
513,1922
579,2158
507,1739
562,1780
572,2383
568,1819
558,2042
556,1631
541,2184
495,2318
564,2179
536,2154
576,1889
516,2383
573,2040
552,2121
569,1870
533,1598
579,2159
529,1922
570,1872
528,1911
501,2151
504,1854
511,2015
544,2148
503,2107
572,2418
586,1943
495,2353
519,1571
547,2260
509,2213
535,1854
515,2076
579,2194
502,1667
571,2034
550,1909
518,2123
541,2219
572,2417
495,2352
510,2213
523,2180
498,2008
586,1908
504,1819
570,1871
513,1921
527,2214
573,2039
579,2229
525,2011
507,1704
502,1668
540,1635
528,1946
541,2184
569,1871
566,2015
582,2077
494,2144
547,2259
589,2051
495,2317
561,2178
518,2158
579,2228
586,1909
516,2384
584,1779
531,2147
493,1848
539,2254
583,2105
556,1630
511,2014
538,1769
534,1889
573,2004
578,1850
499,1852
558,2043
523,2215
542,1605
559,1954
579,2263
551,2214
588,2074
514,1884
554,1968
575,1864
590,1705
562,1781
519,1572
564,2144
552,2120
572,2382
574,1912
579,2262
512,2183
515,2077
549,2013
571,2035
529,1887
533,1599
547,2258
581,2019
513,1920
495,2316
545,1933
570,1870
586,1908
535,1889
502,1633
541,2183
518,2157
569,1872
511,2015
550,1908
528,1945
544,2149
505,1907
504,1818
587,1999
537,2216
579,2261
538,1768
509,2214
507,1703
525,2046
530,2259
547,2257
538,1803
503,2142
573,2003
562,1816
506,1882
547,2258
519,1537
516,2385
571,2070
495,2351
535,1890
579,2260
586,1907
510,2214
552,2085
496,2346
556,1629
523,2216
531,2148
547,2223
578,1815
511,1980
538,1768
555,2069
497,1704
577,1908
568,1818
533,1600
565,1784
513,1919
542,1570
570,1869
569,1907
552,2084
495,2316
579,2259
572,2383
546,1746
586,1872
502,1634
519,1536
495,2315
586,1871
