traj_id,poi_enum
560,153
543,153
569,48
569,109
569,110
569,111
569,112
569,472
569,473
560,335
569,335
543,335
519,216
519,514
500,174
500,199
500,314
500,350
500,351
500,352
500,353
500,354
500,355
500,356
500,357
500,358
500,359
500,360
500,361
500,362
500,384
500,419
500,459
500,49
500,98
500,146
500,246
500,275
500,418
500,524
556,315
533,315
560,315
543,315
519,75
542,75
500,75
533,404
569,404
556,404
560,404
543,404
540,79
540,88
540,130
540,165
540,229
540,548
502,51
546,51
502,145
546,145
519,306
542,306
519,307
542,307
519,308
542,308
519,491
542,491
519,496
542,496
562,54
507,54
585,54
562,82
507,82
585,82
562,128
507,128
585,128
562,147
507,147
585,147
562,148
507,148
585,148
562,149
507,149
585,149
562,150
507,150
585,150
562,204
507,204
585,204
562,205
507,205
585,205
562,224
507,224
585,224
562,252
507,252
585,252
562,274
507,274
585,274
562,310
507,310
585,310
562,338
507,338
585,338
562,485
507,485
585,485
562,486
507,486
585,486
562,487
507,487
585,487
562,489
507,489
585,489
562,522
507,522
585,522
538,327
568,327
538,328
568,328
569,239
533,239
556,239
543,239
560,239
569,410
533,410
556,410
543,410
560,410
575,72
545,72
533,72
556,72
543,72
560,72
575,423
545,423
533,423
556,423
543,423
560,423
570,304
569,304
570,121
569,121
570,414
569,414
570,500
569,500
570,501
569,501
570,502
569,502
570,503
569,503
574,40
590,40
495,40
574,58
590,58
495,58
574,59
590,59
495,59
574,60
590,60
495,60
574,61
590,61
495,61
574,62
590,62
495,62
574,63
590,63
495,63
574,64
590,64
495,64
574,65
590,65
495,65
574,66
590,66
495,66
574,158
590,158
495,158
574,159
590,159
495,159
574,160
590,160
495,160
574,161
590,161
495,161
574,162
590,162
495,162
574,317
590,317
495,317
574,343
590,343
495,343
574,444
590,444
495,444
574,445
590,445
495,445
562,135
502,135
544,135
519,135
541,135
495,135
523,135
562,23
502,23
544,23
519,23
541,23
562,24
502,24
544,24
519,24
541,24
562,25
502,25
544,25
519,25
541,25
562,26
502,26
544,26
519,26
541,26
562,27
502,27
544,27
519,27
541,27
562,28
502,28
544,28
519,28
541,28
562,29
502,29
544,29
519,29
541,29
562,30
502,30
544,30
519,30
541,30
562,31
502,31
544,31
519,31
541,31
562,32
502,32
544,32
519,32
541,32
562,33
502,33
544,33
519,33
541,33
562,34
502,34
544,34
519,34
541,34
562,35
502,35
544,35
519,35
541,35
562,36
502,36
544,36
519,36
541,36
562,37
502,37
544,37
519,37
541,37
562,38
502,38
544,38
519,38
541,38
562,270
502,270
544,270
519,270
541,270
562,340
502,340
544,340
519,340
541,340
514,74
504,74
499,74
535,74
576,74
514,107
504,107
499,107
535,107
576,107
514,187
504,187
499,187
535,187
576,187
514,200
504,200
499,200
535,200
576,200
514,201
504,201
499,201
535,201
576,201
514,202
504,202
499,202
535,202
576,202
514,234
504,234
499,234
535,234
576,234
514,309
504,309
499,309
535,309
576,309
514,388
504,388
499,388
535,388
576,388
514,439
504,439
499,439
535,439
576,439
514,490
504,490
499,490
535,490
576,490
538,7
543,7
538,8
543,8
538,210
543,210
538,219
543,219
538,321
543,321
586,374
577,374
528,374
587,17
587,377
554,4
533,4
543,4
554,5
533,5
543,5
554,6
533,6
543,6
554,9
533,9
543,9
554,10
533,10
543,10
554,11
533,11
543,11
554,12
533,12
543,12
554,13
533,13
543,13
554,105
533,105
543,105
554,207
533,207
543,207
554,221
533,221
543,221
554,322
533,322
543,322
554,518
533,518
543,518
554,133
503,133
528,133
509,133
526,133
566,133
554,134
503,134
528,134
509,134
526,134
566,134
554,139
503,139
528,139
509,139
526,139
566,139
554,140
503,140
528,140
509,140
526,140
566,140
554,141
503,141
528,141
509,141
526,141
566,141
554,163
503,163
528,163
509,163
526,163
566,163
554,249
503,249
528,249
509,249
526,249
566,249
554,265
503,265
528,265
509,265
526,265
566,265
554,415
503,415
528,415
509,415
526,415
566,415
554,424
503,424
528,424
509,424
526,424
566,424
554,462
503,462
528,462
509,462
526,462
566,462
554,516
503,516
528,516
509,516
526,516
566,516
554,69
503,69
528,69
509,69
526,69
554,73
503,73
528,73
509,73
526,73
554,151
503,151
528,151
509,151
526,151
554,235
503,235
528,235
509,235
526,235
554,396
503,396
528,396
509,396
526,396
554,412
503,412
528,412
509,412
526,412
554,507
503,507
528,507
509,507
526,507
511,20
549,20
550,20
544,20
523,20
502,20
519,20
514,20
511,126
549,126
550,126
544,126
523,126
502,126
519,126
514,126
511,136
549,136
550,136
544,136
523,136
502,136
519,136
514,136
511,186
549,186
550,186
544,186
523,186
502,186
519,186
514,186
511,211
549,211
550,211
544,211
523,211
502,211
519,211
514,211
511,212
549,212
550,212
544,212
523,212
502,212
519,212
514,212
511,213
549,213
550,213
544,213
523,213
502,213
519,213
514,213
511,368
549,368
550,368
544,368
523,368
502,368
519,368
514,368
511,427
549,427
550,427
544,427
523,427
502,427
519,427
514,427
511,428
549,428
550,428
544,428
523,428
502,428
519,428
514,428
511,429
549,429
550,429
544,429
523,429
502,429
519,429
514,429
511,430
549,430
550,430
544,430
523,430
502,430
519,430
514,430
511,431
549,431
550,431
544,431
523,431
502,431
519,431
514,431
511,432
549,432
550,432
544,432
523,432
502,432
519,432
514,432
511,433
549,433
550,433
544,433
523,433
502,433
519,433
514,433
511,434
549,434
550,434
544,434
523,434
502,434
519,434
514,434
511,435
549,435
550,435
544,435
523,435
502,435
519,435
514,435
511,436
549,436
550,436
544,436
523,436
502,436
519,436
514,436
511,437
549,437
550,437
544,437
523,437
502,437
519,437
514,437
504,21
514,21
534,21
504,118
514,118
534,118
504,119
514,119
534,119
504,137
514,137
534,137
504,237
514,237
534,237
504,253
514,253
534,253
504,348
514,348
534,348
504,369
514,369
534,369
504,447
514,447
534,447
504,448
514,448
534,448
504,449
514,449
534,449
504,450
514,450
534,450
504,451
514,451
534,451
504,452
514,452
534,452
504,453
514,453
534,453
504,454
514,454
534,454
504,461
514,461
534,461
504,466
514,466
534,466
504,504
514,504
534,504
571,519
538,519
573,96
558,96
573,115
558,115
573,198
558,198
573,231
558,231
573,272
558,272
573,273
558,273
573,277
558,277
573,446
558,446
573,1
531,1
498,1
573,18
531,18
498,18
573,78
531,78
498,78
573,84
531,84
498,84
573,85
531,85
498,85
573,86
531,86
498,86
573,120
531,120
498,120
573,142
531,142
498,142
573,143
531,143
498,143
573,182
531,182
498,182
573,183
531,183
498,183
573,209
531,209
498,209
573,218
531,218
498,218
573,283
531,283
498,283
573,376
531,376
498,376
573,395
531,395
498,395
573,477
531,477
498,477
531,203
498,203
531,217
498,217
550,67
578,67
504,67
507,67
567,67
513,67
550,68
578,68
504,68
507,68
567,68
513,68
550,157
578,157
504,157
507,157
567,157
513,157
550,226
578,226
504,226
507,226
567,226
513,226
550,468
578,468
504,468
507,468
567,468
513,468
550,525
578,525
504,525
507,525
567,525
513,525
518,22
552,22
547,22
573,22
495,22
572,22
585,22
518,460
552,460
547,460
573,460
495,460
572,460
585,460
579,50
586,50
585,50
513,50
526,50
567,50
522,50
579,206
586,206
585,206
513,206
526,206
567,206
522,206
579,264
586,264
585,264
513,264
526,264
567,264
522,264
579,266
586,266
585,266
513,266
526,266
567,266
522,266
579,267
586,267
585,267
513,267
526,267
567,267
522,267
579,268
586,268
585,268
513,268
526,268
567,268
522,268
579,269
586,269
585,269
513,269
526,269
567,269
522,269
579,326
586,326
585,326
513,326
526,326
567,326
522,326
579,379
586,379
585,379
513,379
526,379
567,379
522,379
579,405
586,405
585,405
513,405
526,405
567,405
522,405
579,406
586,406
585,406
513,406
526,406
567,406
522,406
579,411
586,411
585,411
513,411
526,411
567,411
522,411
579,443
586,443
585,443
513,443
526,443
567,443
522,443
579,470
586,470
585,470
513,470
526,470
567,470
522,470
579,484
586,484
585,484
513,484
526,484
567,484
522,484
579,545
586,545
585,545
513,545
526,545
567,545
522,545
579,550
586,550
585,550
513,550
526,550
567,550
522,550
571,95
538,95
571,318
538,318
503,129
561,129
509,129
510,129
551,129
516,129
582,129
503,197
561,197
509,197
510,197
551,197
516,197
582,197
503,255
561,255
509,255
510,255
551,255
516,255
582,255
582,103
582,168
582,189
582,276
582,347
582,363
582,365
582,383
582,426
582,455
582,492
582,551
544,70
512,70
494,70
550,70
578,70
507,70
567,70
544,83
512,83
494,83
550,83
578,83
507,83
567,83
544,106
512,106
494,106
550,106
578,106
507,106
567,106
544,116
512,116
494,116
550,116
578,116
507,116
567,116
544,173
512,173
494,173
550,173
578,173
507,173
567,173
544,227
512,227
494,227
550,227
578,227
507,227
567,227
544,228
512,228
494,228
550,228
578,228
507,228
567,228
544,230
512,230
494,230
550,230
578,230
507,230
567,230
544,333
512,333
494,333
550,333
578,333
507,333
567,333
544,346
512,346
494,346
550,346
578,346
507,346
567,346
544,397
512,397
494,397
550,397
578,397
507,397
567,397
544,474
512,474
494,474
550,474
578,474
507,474
567,474
544,494
512,494
494,494
550,494
578,494
507,494
567,494
544,495
512,495
494,495
550,495
578,495
507,495
567,495
544,499
512,499
494,499
550,499
578,499
507,499
567,499
544,505
512,505
494,505
550,505
578,505
507,505
567,505
544,506
512,506
494,506
550,506
578,506
507,506
567,506
544,520
512,520
494,520
550,520
578,520
507,520
567,520
501,336
512,336
494,336
550,336
578,336
507,336
567,336
579,282
547,282
511,282
525,282
495,282
572,282
579,467
547,467
511,467
525,467
495,467
572,467
580,16
580,257
580,258
580,259
580,260
580,261
580,262
580,263
580,390
580,391
580,392
580,393
580,394
580,471
510,2
509,2
551,2
527,2
510,3
509,3
551,3
527,3
510,14
509,14
551,14
527,14
510,41
509,41
551,41
527,41
510,42
509,42
551,42
527,42
510,43
509,43
551,43
527,43
510,44
509,44
551,44
527,44
510,45
509,45
551,45
527,45
510,46
509,46
551,46
527,46
510,47
509,47
551,47
527,47
510,81
509,81
551,81
527,81
510,104
509,104
551,104
527,104
510,152
509,152
551,152
527,152
510,169
509,169
551,169
527,169
510,184
509,184
551,184
527,184
510,303
509,303
551,303
527,303
510,366
509,366
551,366
527,366
510,375
509,375
551,375
527,375
510,544
509,544
551,544
527,544
541,76
537,76
539,76
541,108
537,108
539,108
541,208
537,208
539,208
541,349
537,349
539,349
541,364
537,364
539,364
541,367
537,367
539,367
541,386
537,386
539,386
541,457
537,457
539,457
541,488
537,488
539,488
539,244
530,244
539,251
530,251
539,476
530,476
579,378
547,378
511,378
495,378
525,378
572,378
496,56
527,56
496,245
527,245
496,271
527,271
496,323
527,323
496,371
527,371
496,372
527,372
496,407
527,407
496,420
527,420
496,421
527,421
496,510
527,510
496,319
495,53
572,53
511,53
525,53
495,102
572,102
511,102
525,102
495,175
572,175
511,175
525,175
495,176
572,176
511,176
525,176
495,215
572,215
511,215
525,215
495,301
572,301
511,301
525,301
495,324
572,324
511,324
525,324
495,465
572,465
511,465
525,465
495,523
572,523
511,523
525,523
495,122
572,122
511,122
525,122
495,154
572,154
511,154
525,154
495,164
572,164
511,164
525,164
495,236
572,236
511,236
525,236
495,305
572,305
511,305
525,305
495,409
572,409
511,409
525,409
495,91
572,91
511,91
525,91
495,316
572,316
511,316
525,316
495,408
572,408
511,408
525,408
495,425
572,425
511,425
525,425
572,132
516,132
572,178
516,178
572,190
516,190
572,191
516,191
572,192
516,192
572,193
516,193
572,194
516,194
572,195
516,195
572,196
516,196
572,312
516,312
572,313
516,313
572,331
516,331
572,334
516,334
572,521
516,521
572,552
516,552
572,553
516,553
572,554
516,554
516,97
572,97
521,241
524,241
521,285
524,285
521,526
524,526
521,527
524,527
521,528
524,528
521,529
524,529
521,530
524,530
521,531
524,531
521,532
524,532
521,533
524,533
521,534
524,534
521,535
524,535
521,536
524,536
521,537
524,537
521,538
524,538
521,539
524,539
521,540
524,540
521,541
524,541
521,542
524,542
591,52
553,52
520,52
591,398
553,398
520,398
591,399
553,399
520,399
591,387
553,387
520,387
